name,reviews_count,fuelType,engine_displacement,no_cylinder,seats,transmission_type,fuel_tank_capacity,typeId,rating,minPrice,maxPrice,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,imageUrl,brandId,year,country
Bentley Continental,17,Petrol,5998,12,4.0,Automatic,90.0,Convertible,4.5,365556,434444,700.0,1600,562.0,6000,https://cdn.motor1.com/images/mgl/NRmZG/s1/bentley-continental-gt.jpg,Bentley,2022,UK
Bentley Flying Spur,9,Petrol,5950,12,4.0,Automatic,90.0,Sedan,4.5,357778,378889,900.0,4500,626.0,6000,https://www.thecarexpert.co.uk/wp-content/uploads/2021/01/Flying-Spur-Mulliner-1-1920x960.jpg,Bentley,2024,UK
Citroen C3,57,Petrol,1199,3,5.0,Manual,30.0,Hatchback,4.5,6344,8956,190.0,1750,108.62,5500,https://images.manouvellevoiture.com/data/image/c/i/citroen-c3-live-1.jpg?tr=pr-true,Citroen,2023,France
Citroen C5 Aircross,44,Diesel,1997,4,5.0,Automatic,52.5,SUV,4.0,35822,37533,400.0,2000,174.33,3750,https://i0.wp.com/leseco.ma/wp-content/uploads/2022/06/Citroen-le-C5-Aircross.jpg?fit=1200%2C600&ssl=1,Citroen,2022,France
Compass Trailhawk,1,Diesel,1998,4,5.0,Automatic,60.0,SUV,4.5,60556,63222,350.0,2500,170.0,3750,https://stimg.cardekho.com/images/carexteriorimages/930x620/Jeep/Compass-Trailhawk/8777/1646028108759/front-left-side-47.jpg,Unknown,2024,Unknown
Datsun GO,312,Petrol,1198,3,5.0,Automatic,35.0,Hatchback,4.5,4478,7233,104.0,4400,76.43,6000,https://auto.economictimes.indiatimes.com/files/retail_files/go-plus-1503573170-prod-var.jpg,Datsun,2022,Japan
Datsun GO Plus,307,Petrol,1198,3,7.0,Automatic,35.0,MUV,4.5,4733,7778,104.0,4400,76.43,6000,https://stimg.cardekho.com/images/carexteriorimages/930x620/Datsun/Datsun-GO-Plus/6654/front-left-side-47.jpg,Datsun,2023,Japan
Datsun redi-GO,67,Petrol,999,3,5.0,Automatic,28.0,Hatchback,3.5,4422,5511,91.0,4250,67.05,5550,https://imgd.aeplcdn.com/1200x900/n/cw/ec/45245/datsun-redi-go-right-front-three-quarter19.jpeg?q=80,Datsun,2024,Japan
Ferrari 812,3,Petrol,6496,8,2.0,Automatic,92.0,Convertible,4.5,638889,638889,718.0,7000,788.52,8500,"https://res.cloudinary.com/dsxfn6o4q/image/upload/c_fill,g_center,h_467,w_624/v1571159765/uljvo0qtiw5ljuwyk1sg.jpg",Ferrari,2022,Italy
Ferrari F8 Tributo,6,Petrol,3902,8,2.0,Automatic,78.0,Coupe,3.5,95333,138889,770.0,3250,710.74,8000,https://friendscarrental.com/frontend/image/ferrari-f8-tributo-1720947766898.webp,Ferrari,2024,Italy
Ferrari Portofino,5,Petrol,3855,8,4.0,Automatic,81.0,Convertible,4.5,388889,388889,760.0,5250,591.79,7500,https://www.autoscout24.be/cms-content-assets/6RCvYBFiZ1zOZJNXufpZtH-134d95556e5a94f911fd6da2114c6ecb-ferrari-portofino-l-01-1100.jpg,Ferrari,2024,Italy
Ferrari Roma,2,Petrol,3855,8,2.0,Automatic,80.0,Coupe,4.5,417778,417778,760.0,5750,611.5,7500,https://upload.wikimedia.org/wikipedia/commons/e/e8/Red_Ferrari_Roma.jpg,Ferrari,2024,Italy
Ferrari SF90 Stradale,8,Petrol,3990,8,2.0,Automatic,68.0,Coupe,4.5,5000,5000,800.0,6000,769.31,7500,https://cdn.motor1.com/images/mgl/xqq24z/s1/novitec-ferrari-sf90-stradale-2022.webp,Ferrari,2023,Italy
Force Gurkha,28,Diesel,2596,4,4.0,Manual,63.0,SUV,4.5,16100,16100,250.0,2400,89.84,3200,https://img.autocarindia.com/model/uploads/modelimages/Force-Gurkha-3-Door-160520241306.jpg?w=750&h=500&q=90&c=1,Force Motors,2022,India
Honda Amaze,85,Diesel,1498,4,5.0,Automatic,35.0,Sedan,4.5,7367,12778,160.0,1750,79.12,3600,https://imgd.aeplcdn.com/1280x720/n/cw/ec/184377/amaze-exterior-right-front-three-quarter-3.jpeg?isig=0&q=80,Honda,2023,Japan
Honda City,162,Diesel,1498,4,5.0,Manual,40.0,Sedan,4.5,12856,17244,200.0,1750,97.89,3600,https://tokioveiculos.com.br/imagem/1639488217.38_tokio-veiculos.jpg,Honda,2023,Japan
Honda City 4th Generation,1067,Petrol,1497,4,5.0,Manual,40.0,Sedan,4.5,10556,11111,145.0,4600,117.6,6600,https://imgd.aeplcdn.com/1056x594/n/9p7ubsa_1460625.jpg?q=80,Honda,2024,Japan
Honda City Hybrid,1,Petrol,1498,4,5.0,Automatic,40.0,Sedan,4.5,90556,90556,127.0,5000,96.55,6400,https://www.motorbeam.com/wp-content/uploads/Honda-City-Hybrid-Launch.jpg,Honda,2023,Japan
Honda Jazz,41,Petrol,1199,4,5.0,Automatic,40.0,Hatchback,4.5,8900,11467,110.0,4800,88.5,6000,https://www.honda-mideast.com/fr-ma/-/media/honda/jazz-2024-morocco/images/highlights/highlights-largeimage1.png,Honda,2023,Japan
Honda WR-V,81,Diesel,1498,4,5.0,Manual,40.0,SUV,4.5,10122,13678,200.0,1750,97.89,3600,https://imgd.aeplcdn.com/1920x1080/n/cw/ec/134113/new-wr-v-exterior-left-front-three-quarter-2.jpeg?isig=0&q=80&q=80,Honda,2022,Japan
Hyundai Alcazar,207,Diesel,1493,4,7.0,Automatic,50.0,SUV,4.0,17656,22500,250.0,2750,113.42,4000,https://imgd.aeplcdn.com/664x374/n/cw/ec/157825/alcazar-facelift-exterior-right-front-three-quarter-10.jpeg?isig=0&q=80,Hyundai,2024,South Korea
Hyundai Aura,261,Petrol,998,3,5.0,Manual,37.0,Sedan,4.5,6767,9856,172.0,4000,98.63,6000,https://cdn.wheel-size.com/automobile/body/hyundai-aura-2023-2024-1694881222.2060971.jpg,Hyundai,2024,South Korea
Hyundai Creta,731,Diesel,1493,4,5.0,Automatic,50.0,SUV,4.5,11600,20200,250.0,2750,113.45,4000,https://bazamcar.com/wp-content/uploads/2015/04/location-hyundai-creta-temara-rabat.jpg,Hyundai,2023,South Korea
Hyundai Kona Electric,40,Electric,0,0,5.0,Electric,0.0,SUV,4.5,26489,26700,395.0,0,134.1,0,https://imperialsociety.in/wp-content/uploads/2021/08/8.png,Hyundai,2024,South Korea
Hyundai Santro,532,CNG,1086,4,5.0,Manual,60.0,Hatchback,4.5,5444,7133,85.3,4501,59.17,5500,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202205/santro-sixteen_nine.jpeg,Hyundai,2024,South Korea
Hyundai Tucson,8,Diesel,1997,4,5.0,Automatic,54.0,SUV,4.5,30778,38378,416.0,2750,183.72,4000,https://www.lodj.ma/photo/art/grande/76845964-55395260.jpg?v=1700599532,Hyundai,2024,South Korea
Hyundai Venue,36,Petrol,998,3,5.0,Automatic,45.0,SUV,4.5,8367,14133,172.0,4000,118.41,6000,https://catalogue.automobile.tn/big/2024/02/46927.jpg?t=1744790934,Hyundai,2022,South Korea
Hyundai Verna,234,Diesel,1493,4,5.0,Automatic,45.0,Sedan,4.5,10456,17167,250.0,2750,113.45,4000,https://cdn.wheel-size.com/automobile/body/hyundai-verna-2020-2023-1741241594.599433.jpg,Hyundai,2024,South Korea
Hyundai Xcent Prime,8,CNG,1197,4,5.0,Manual,65.0,Sedan,4.5,133333,137778,97.96,4200,65.39,5600,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Hyundai_Grand_i10_1.0_GL_Sedan_2017_%2833541605345%29.jpg/1200px-Hyundai_Grand_i10_1.0_GL_Sedan_2017_%2833541605345%29.jpg,Hyundai,2023,South Korea
Hyundai i20,432,Petrol,998,3,5.0,Automatic,37.0,Hatchback,3.5,7811,12822,171.62,4000,118.36,6000,https://www.hyundai.com/content/dam/hyundai/ma/fr/images/test/highlights544x360.jpg,Hyundai,2022,South Korea
Isuzu D-Max,8,Diesel,1898,4,5.0,Automatic,0.0,SUV,4.5,14444,30000,360.0,2500,160.92,3600,https://cdn.wheel-size.com/automobile/body/isuzu-d-max-2023-2025-1714723228.9885058.jpg,Isuzu,2022,Japan
Isuzu MU-X,2,Diesel,1898,4,7.0,Automatic,55.0,SUV,4.5,38889,42111,360.0,2500,160.92,3600,https://stimg.cardekho.com/images/carexteriorimages/930x620/Isuzu/MU-X/9889/1681734066714/front-left-side-47.jpg,Isuzu,2023,Japan
Jaguar F-Pace,5,Petrol,4999,8,5.0,Automatic,82.0,SUV,4.5,83200,173333,700.0,5000,543.11,6500,https://i.gaw.to/content/photos/44/20/442044-jaguar-f-pace-2021-de-gros-changements-a-l-interieur-et-sous-le-capot.jpeg?1024x640,Jaguar,2022,UK
Jaguar F-TYPE,4,Petrol,5000,8,2.0,Automatic,70.0,Coupe,4.5,109033,170000,580.0,500,443.8,6000,https://www.leguideauto.ma/contents/cars/pictures/2021/12/large/DcoQdELpammTX5Cr4AjXvgkWqAyzipMxBUwx9KiW.webp,Jaguar,2023,UK
Jaguar I-Pace,6,Electric,0,0,5.0,Electric,0.0,SUV,4.5,784444,848889,696.0,0,394.26,0,https://groupe-grim.com/jaguar-land-rover/wp-content/uploads/2021/11/nouvelle-jaguar-i-pace-2021.jpg,Jaguar,2024,UK
Jaguar XE,22,Petrol,1997,4,5.0,Automatic,61.7,Sedan,4.5,51822,53889,365.0,4000,246.74,5500,https://media.cdn-jaguarlandrover.com/api/v2/images/64722/w/1000.jpg,Jaguar,2024,UK
Jaguar XF,31,Diesel,1997,4,5.0,Automatic,0.0,Sedan,4.5,79556,84444,430.0,2500,201.15,4250,"https://hips.hearstapps.com/hmg-prod/images/2024-jaguar-xf-p300-r-dynamic-101-64e8cdd02fc9a.jpg?crop=0.775xw:0.658xh;0.0879xw,0.203xh&resize=2048:*",Jaguar,2024,UK
Jeep Meridian,78,Diesel,1956,4,7.0,Automatic,60.0,SUV,4.5,17944,23056,350.0,2500,167.67,3750,https://imgd.aeplcdn.com/664x374/n/cw/ec/47139/meridian-exterior-right-front-three-quarter-11.jpeg?isig=0&q=80,Jeep,2024,USA
Jeep Wrangler,18,Petrol,1998,4,5.0,Automatic,0.0,SUV,4.5,62611,67056,400.0,3000,268.0,5250,https://d1ducb2okbhmxx.cloudfront.net/catalog/product/cache/54b31fb065306593c364f8dcec4420b3/2/0/2024-custom-jeep-wrangler-jlu-rubicon-392-black-pf-3.jpg,Jeep,2024,USA
Kia EV6,15,Electric,0,0,5.0,Electric,0.0,SUV,4.5,66611,72167,605.0,0,320.55,0,https://ev-database.org/img/auto/Kia_EV6_2024/Kia_EV6_2024-01.jpg,Kia,2024,South Korea
Kia Seltos,2171,Diesel,1493,4,5.0,Automatic,50.0,SUV,4.5,11656,20722,250.0,2750,113.43,4000,https://mauto.ma/images/kia-seltos-2024.jpg,Kia,2024,South Korea
Kia Sonet,523,Diesel,1493,4,5.0,Automatic,45.0,SUV,4.0,8322,15322,250.0,2750,113.43,4000,https://f2.hespress.com/wp-content/uploads/2022/06/Kia-Sonet.jpg,Kia,2023,South Korea
Lamborghini Aventador,52,Petrol,6498,12,2.0,Automatic,90.0,Coupe,4.5,694444,1000000,720.0,6750,759.01,8500,"https://res.cloudinary.com/unix-center/image/upload/c_limit,dpr_3.0,f_auto,fl_progressive,g_center,h_580,q_75,w_906/kxxsmpxaopxf5gzec22w.jpg",Lamborghini,2023,Italy
Lamborghini Huracan EVO,5,Petrol,5204,10,2.0,Automatic,80.0,Coupe,4.5,44444,44444,565.0,6500,630.28,8000,"https://res.cloudinary.com/unix-center/image/upload/c_limit,dpr_3.0,f_auto,fl_progressive,g_center,h_240,q_auto:good,w_385/penend4bfq6go3arnfsm.jpg",Lamborghini,2022,Italy
Lamborghini Urus,33,Petrol,3996,8,5.0,Automatic,75.0,SUV,4.5,350000,381111,850.0,4500,641.0,6000,https://images.caradisiac.com/logos-ref/modele/modele--lamborghini-urus/S0-modele--lamborghini-urus.jpg,Lamborghini,2022,Italy
Land Rover Defender,13,Petrol,4997,4,7.0,Automatic,89.0,SUV,4.5,89689,243333,650.0,2500,296.36,4000,https://media.cdn-jaguarlandrover.com/api/v2/images/105274/w/1600.jpg,Land Rover,2024,UK
Land Rover Discovery Sport,6,Petrol,1997,4,7.0,Automatic,70.0,SUV,4.5,72556,79322,365.0,4500,245.4,5500,https://media.cdn-jaguarlandrover.com/api/v2/images/96413/w/1600/h/650.jpg,Land Rover,2024,UK
